name,country,population,aliases
Santana de Parnaíba,BR,154105,Parnaíba|Sant'Ana-de-Paranaíba
Santa Luzia,BR,219132,Santa Lúcia|聖盧西亞
Santa Cruz do Sul,BR,133230,南圣克鲁斯
Santa Bárbara d'Oeste,BR,188000,Santa Bárbara do Oeste|Sta. Bárbara do Oeste
Salvador,BR,2711840,Baía|Salvador de Bahía|萨尔瓦多
Sabará,BR,129380,萨巴拉
Rondonópolis,BR,259167,Rodonópolis
Rio Verde,BR,225696,里奥韦尔迪
Rio Grande,BR,187838,
Rio de Janeiro,BR,6747815,Rio dé Janéyro|Riviéthe dé Janvyi|Río de Janeiro|里約熱內盧|里约热内卢
Rio das Ostras,BR,168099,
Rio Claro,BR,201418,
Ribeirão Pires,BR,115559,
Ribeirão das Neves,BR,329794,
Resende,BR,111514,雷森迪
Queimados,BR,149093,
Presidente Prudente,BR,225668,普鲁登特总统城
Praia Grande,BR,349935,大普拉亚
Pouso Alegre,BR,152217,波苏阿莱格里
Porto Seguro,BR,168326,塞古鲁港
Porto Alegre,BR,1488252,阿雷格里港
Ponta Grossa,BR,292177,蓬塔格羅薩
Poá,BR,103765,
Planaltina,BR,105031,
Piraquara,BR,118730,
Pindamonhangaba,BR,165428,平达莫尼扬加巴
Petrópolis,BR,272691,彼得罗波利斯
Pelotas,BR,320674,佩洛塔斯
Patos de Minas,BR,159235,帕图斯迪米纳斯
Passos,BR,111939,帕苏斯
Passo Fundo,BR,179529,帕苏丰杜
Paranaguá,BR,141013,巴拉那瓜
Ourinhos,BR,103970,欧里尼奥斯
Osasco,BR,728615,
Novo Hamburgo,BR,253841,新漢堡
Nova Serrana,BR,105552,
Nova Lima,BR,111697,
Nossa Senhora do Socorro,BR,192330,Cotingüiba
Niterói,BR,456456,
Nilópolis,BR,147281,尼洛波利斯
Muriaé,BR,104108,Muriahé|穆里亚埃
Montes Claros,BR,414240,蒙蒂斯克拉鲁斯
Mogi Guaçu,BR,153658,Mogy Guassú|莫吉瓜苏
Mogi das Cruzes,BR,325746,
Magé,BR,244092,马热
Macaé,BR,143029,Macahé|马卡埃
Luziânia,BR,209129,
Linhares,BR,166786,
Limeira,BR,291869,利梅拉
Lavras,BR,104761,拉夫拉斯
Lages,BR,164676,拉热斯
Lagarto,BR,101579,
Joinville,BR,461304,若茵维莱
Jequié,BR,127475,Jiquié|热基耶
Jaú,BR,133497,Jahú|雅乌
Jataí,BR,105729,
Jaraguá do Sul,BR,182660,Jaraguá|南雅拉瓜
Japeri,BR,102149,
Jandira,BR,118045,
Jacareí,BR,213110,雅卡雷伊
Ituiutaba,BR,102217,伊图尤塔巴
Itu,BR,137586,伊图
Itaquaquecetuba,BR,369275,
Itapetininga,BR,157790,伊塔佩蒂宁加
Itaperuna,BR,107246,伊塔佩鲁纳
Itapecerica da Serra,BR,158522,
Itajaí,BR,155716,伊達賈伊
Itaguaí,BR,123980,伊塔瓜伊
Itabuna,BR,205660,伊塔布纳
Itaboraí,BR,240040,伊塔博拉伊
Itabira,BR,113343,伊塔比拉
Itabaiana,BR,103440,
Ipatinga,BR,228746,伊帕廷加
Ilhéus,BR,155499,Ilhéos|São Jorgé dos Ilhéos|伊列乌斯
Ibirité,BR,170537,
Guarulhos,BR,1169577,
Guaratinguetá,BR,118044,
Guarapuava,BR,182093,瓜拉普阿瓦
Guarapari,BR,124656,
Guará,BR,120641,
Governador Valadares,BR,250878,瓦拉達里斯州長市
Goiânia,BR,1536097,Goianá|戈亚尼亚
Gama,BR,139467,
Franco da Rocha,BR,144849,
